Date,Open,High,Low,Close,Adj Close,Volume
2023-08-03,120859.000000,122619.000000,120365.000000,120586.000000,120586.000000,13027300
2023-08-04,120586.000000,121442.000000,119215.000000,119508.000000,119508.000000,15065200
2023-08-07,119509.000000,120104.000000,118894.000000,119380.000000,119380.000000,8726500
2023-08-08,119378.000000,119553.000000,117492.000000,119090.000000,119090.000000,10246000
2023-08-09,119090.000000,119090.000000,117901.000000,118409.000000,118409.000000,11245600
2023-08-10,118412.000000,119438.000000,118113.000000,118350.000000,118350.000000,12689600
2023-08-11,118350.000000,119054.000000,117415.000000,118065.000000,118065.000000,11867500
2023-08-14,118067.000000,118082.000000,116530.000000,116810.000000,116810.000000,11203500
2023-08-15,116809.000000,117697.000000,116033.000000,116171.000000,116171.000000,14636000
2023-08-16,116171.000000,117338.000000,115534.000000,115592.000000,115592.000000,18862600
2023-08-17,115592.000000,116610.000000,114859.000000,114982.000000,114982.000000,12747500
2023-08-18,114973.000000,115729.000000,114423.000000,115409.000000,115409.000000,10601000
2023-08-21,115404.000000,115425.000000,114067.000000,114429.000000,114429.000000,9794400
2023-08-22,114433.000000,116286.000000,114433.000000,116156.000000,116156.000000,9828500
2023-08-23,116160.000000,118135.000000,116159.000000,118135.000000,118135.000000,11542800
2023-08-24,118135.000000,118136.000000,116848.000000,117026.000000,117026.000000,9196200
2023-08-25,117025.000000,117252.000000,115397.000000,115837.000000,115837.000000,9214100
2023-08-28,115838.000000,117253.000000,115836.000000,117121.000000,117121.000000,9596900
2023-08-29,117124.000000,118493.000000,117124.000000,118404.000000,118404.000000,9631600
2023-08-30,118404.000000,118841.000000,117471.000000,117535.000000,117535.000000,8924000
2023-08-31,117537.000000,117637.000000,115742.000000,115742.000000,115742.000000,12950000
2023-09-01,115744.000000,117991.000000,115744.000000,117893.000000,117893.000000,11890700
2023-09-04,117893.000000,118576.000000,117590.000000,117777.000000,117777.000000,5529700
2023-09-05,117776.000000,117957.000000,116637.000000,117331.000000,117331.000000,10870700
2023-09-06,117331.000000,117971.000000,115984.000000,115985.000000,115985.000000,9916100
2023-09-08,115979.000000,115979.000000,114839.000000,115313.000000,115313.000000,8360700
2023-09-11,115316.000000,117131.000000,115316.000000,116883.000000,116883.000000,8789000
2023-09-12,116885.000000,118154.000000,116885.000000,117968.000000,117968.000000,9192800
2023-09-13,117968.000000,119318.000000,117722.000000,118176.000000,118176.000000,12075300
2023-09-14,118181.000000,119748.000000,118181.000000,119392.000000,119392.000000,13279300
2023-09-15,119393.000000,119780.000000,118666.000000,118758.000000,118758.000000,16107600
2023-09-18,118759.000000,119486.000000,118123.000000,118288.000000,118288.000000,11273100
2023-09-19,118293.000000,118458.000000,117628.000000,117846.000000,117846.000000,11453800
2023-09-20,117864.000000,119616.000000,117847.000000,118695.000000,118695.000000,9238800
2023-09-21,118695.000000,118695.000000,116013.000000,116145.000000,116145.000000,12685800
2023-09-22,116147.000000,116968.000000,115855.000000,116009.000000,116009.000000,9443500
